Date,Verse of the Day,URL,Reference Text
2025-10-07,Galatians 5:24,https://bible.com/bible/111/GAL.5.24,Those who belong to Christ Jesus have crucified the flesh with its passions and desires.
2025-10-08,John 15:12,https://bible.com/bible/111/JHN.15.12,Love each other as I have loved you
2025-10-09,1 John 1:9,https://bible.com/bible/111/1JN.1.9,"If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness."
2025-10-10,John 10:10,https://bible.com/bible/111/JHN.10.10,"The thief comes only to steal and kill and destroy; I have come that they may have life, and have it to the full."
2025-10-11,1 Corinthians 13:4,https://bible.com/bible/111/1CO.13.4,"Love is patient, love is kind. It does not envy, it does not boast, it is not proud."
2025-10-12,Psalm 18:2,https://bible.com/bible/111/PSA.18.2,"The Lord is my rock, my fortress and my deliverer; my God is my rock, in whom I take refuge, my shield and the horn of my salvation, my stronghold."
2025-10-13,Ephesians 1:7,https://bible.com/bible/111/EPH.1.7,"In him we have redemption through his blood, the forgiveness of sins, in accordance with the riches of God's grace"
2025-10-14,Romans 1:17,https://bible.com/bible/111/ROM.1.17,"For in the gospel the righteousness of God is revealed—a righteousness that is by faith from first to last, just as it is written: “The righteous will live by faith.”"
2025-10-15,John 1:14,https://bible.com/bible/111/JHN.1.14,"The Word became flesh and made his dwelling among us. We have seen his glory, the glory of the one and only Son, who came from the Father, full of grace and truth."
2025-10-16,John 6:35,https://bible.com/bible/111/JHN.6.35,"I am the bread of life. Whoever comes to me will never go hungry, and whoever believes in me will never be thirsty."
2025-10-17,Proverbs 18:10,https://bible.com/bible/111/PRO.18.10,The name of the Lord is a fortified tower; the righteous run to it and are safe.
2025-10-18,Philippians 1:3,https://bible.com/bible/111/PHP.1.3,I thank my God every time I remember you.
2025-10-19,Psalm 51:10,https://bible.com/bible/111/PSA.51.10,"Create in me a pure heart, O God, and renew a steadfast spirit within me."
2025-10-20,Ephesians 2:8-9,https://bible.com/bible/111/EPH.2.8-9,"For it is by grace you have been saved, through faith—and this is not from yourselves, it is the gift of God—not by works, so that no one can boast."
2025-10-21,Judges 6:12,https://bible.com/bible/111/JDG.6.12,"When the angel of the LORD appeared to Gideon, he said, “The LORD is with you, mighty warrior.”"
2025-10-22,Psalm 34:18,https://bible.com/bible/111/PSA.34.18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.
2025-10-23,Matthew 9:37-38,https://bible.com/bible/111/MAT.9.37-38,"Then he said to his disciples, “The harvest is plentiful but the workers are few. Ask the Lord of the harvest, therefore, to send out workers into his harvest field.”"
2025-10-24,John 14:6,https://bible.com/bible/111/JHN.14.6,"Jesus answered, I am the way and the truth and the life. No one comes to the Father except through me."
2025-10-25,Ephesians 6:11,https://bible.com/bible/111/EPH.6.11,"Put on the full armor of God, so that you can take your stand against the devil's schemes."
2025-10-26,Psalm 31:24,https://bible.com/bible/111/PSA.31.24,"Be strong and take heart, all you who hope in the Lord."
2025-10-27,James 5:13,https://bible.com/bible/111/JAS.5.13,Is anyone among you suffering? Let him pray. Is anyone cheerful? Let him sing praise.
2025-10-28,2 Corinthians 4:18,https://bible.com/bible/111/2CO.4.18,"So we fix our eyes not on what is seen, but on what is unseen, since what is seen is temporary, but what is unseen is eternal."
2025-10-29,Philippians 4:8,https://bible.com/bible/111/PHP.4.8,"Finally, brothers and sisters, whatever is true, whatever is noble, whatever is right, whatever is pure, whatever is lovely, whatever is admirable—if anything is excellent or praiseworthy—think about such things."
2025-10-30,Romans 5:1,https://bible.com/bible/111/ROM.5.1,"Therefore, since we have been justified through faith, we have peace with God through our Lord Jesus Christ."
2025-10-31,Galatians 2:20,https://bible.com/bible/111/GAL.2.20,"I have been crucified with Christ and I no longer live, but Christ lives in me. The life I now live in the body, I live by faith in the Son of God, who loved me and gave himself for me."
2025-11-01,Jeremiah 29:13,https://bible.com/bible/111/JER.29.13,You will seek me and find me when you seek me with all your heart.
2025-11-02,Psalm 56:3,https://bible.com/bible/111/PSA.56.3,"When I am afraid, I put my trust in you."
2025-11-03,Matthew 6:19,https://bible.com/bible/111/MAT.6.19,"Do not store up for yourselves treasures on earth, where moths and rust destroy, and where thieves break in and steal."
2025-11-04,1 John 2:6,https://bible.com/bible/111/1JN.2.6,Whoever claims to live in him must live as Jesus did.
2025-11-05,Proverbs 16:9,https://bible.com/bible/111/PRO.16.9,"In their hearts humans plan their course, but the Lord establishes their steps."
2025-11-06,Jeremiah 29:11,https://bible.com/bible/111/JER.29.11,"For I know the plans I have for you,” declares the Lord, “plans to prosper you and not to harm you, plans to give you hope and a future"
2025-11-07,2 Timothy 4:7,https://bible.com/bible/111/2TI.4.7,"I have fought the good fight, I have finished the race, I have kept the faith. "
2025-11-08,1 Peter 2:24,https://bible.com/bible/111/1PE.2.24,"""He himself bore our sins"" in his body on the cross, so that we might die to sins and live for righteousness; ""by his wounds you have been healed."""
2025-11-09,Psalm 139:23,https://bible.com/bible/111/PSA.139.23,"Search me, God, and know my heart; test me and know my anxious thoughts."
2025-11-10,Isaiah 40:3,https://bible.com/bible/111/ISA.40.3,A voice of one calling: In the wilderness prepare the way for the Lord; make straight in the desert a highway for our God.
2025-11-11,1 Corinthians 13:6,https://bible.com/bible/111/1CO.13.6,Love does not delight in evil but rejoices with the truth.
2025-11-12,1 Thessalonians 5:11,https://bible.com/bible/111/1TH.5.11,"Therefore encourage one another and build each other up, just as in fact you are doing."
2025-11-13,Philippians 4:4,https://bible.com/bible/111/PHP.4.4,Rejoice in the Lord always. I will say it again Rejoice!
2025-11-14,Isaiah 25:1,https://bible.com/bible/111/ISA.25.1,"Lord, you are my God; I will exalt you and praise your name, for in perfect faithfulness you have done wonderful things, things planned long ago."
2025-11-15,John 3:16,https://bible.com/bible/111/JHN.3.16,For God so loved the world that he gave his only Son that whoever believes in him should not perish
2025-11-16,Luke 1:37,https://bible.com/bible/111/LUK.1.37,For the word of God will never fail.
2025-11-17,Hebrews 4:12,https://bible.com/bible/111/HEB.4.12,"For the word of God is alive and active. Sharper than any double-edged sword, it penetrates even to dividing soul and spirit, joints and marrow; it judges the thoughts and attitudes of the heart."
2025-11-18,Mark 10:14,https://bible.com/bible/111/MRK.10.14,"When Jesus saw this, he was indignant. He said to them, “Let the little children come to me, and do not hinder them, for the kingdom of God belongs to such as these."
2025-11-19,2 Timothy 1:7,https://bible.com/bible/111/2TI.1.7,"For the Spirit God gave us does not make us timid, but gives us power, love and self-discipline."
2025-11-20,Matthew 19:26,https://bible.com/bible/111/MAT.19.26,"Jesus looked at them and said, ""With man this is impossible, but with God all things are possible."""
2025-11-21,Isaiah 43:2,https://bible.com/bible/111/ISA.43.2,"When you pass through the waters, I will be with you; and when you pass through the rivers, they will not sweep over you. When you walk through the fire, you will not be burned; the flames will not set you ablaze."
2025-11-22,Colossians 4:2,https://bible.com/bible/111/COL.4.2,"Devote yourselves to prayer, being watchful and thankful."
2025-11-23,Psalm 23:4,https://bible.com/bible/111/PSA.23.4,"Even though I walk through the darkest valley, I will fear no evil, for you are with me; your rod and your staff, they comfort me."
2025-11-24,Matthew 10:20,https://www.bible.com/bible/111/MAT.10.20,"For it will not be you speaking, but the Spirit of your Father speaking through you."
2025-11-25,Luke 6:38,https://bible.com/bible/111/LUK.6.38,"Give, and it will be given to you. A good measure, pressed down, shaken together and running over, will be poured into your lap. For with the measure you use, it will be measured to you.”"
2025-11-26,Psalm 68:19,https://bible.com/bible/111/PSA.68.19,"Praise be to the Lord, to God our Savior, who daily bears our burdens."
2025-11-27,Psalm 9:1,https://bible.com/bible/111/PSA.9.1,"I will give thanks to you, Lord, with all my heart; I will tell of all your wonderful deeds."
2025-11-28,John 8:32,https://bible.com/bible/111/JHN.8.32,"Then you will know the truth, and the truth will set you free."""
2025-11-29,Isaiah 12:2,https://bible.com/bible/111/ISA.12.2,"Surely God is my Salvation, I will trust and not be afraid"
2025-11-30,Matthew 24:42,https://bible.com/bible/111/MAT.24.42,"“Therefore keep watch, because you do not know on what day your Lord will come."
2025-12-01,Psalms 121:5,https://bible.com/bible/111/PSA.121.5,The Lord watches over you—the Lord is your shade at your right hand
2025-12-02,Proverbs 11:25,https://bible.com/bible/111/PRO.11.25,A generous person will prosper; whoever refreshes others will be refreshed.
2025-12-03,Ephesians 6:18,https://bible.com/bible/111/EPH.6.18,"Pray in the Spirit on all occasions with all kinds of prayers and requests. With this in mind, be alert and always keep on praying for all the Lord’s people."
2025-12-04,Psalm 145:18,https://bible.com/bible/111/PSA.145.18,"The Lord is near to all who call on him, to all who call on him in truth."
2025-12-05,1 John 4:19,https://bible.com/bible/111/1JN.4.19,We love because he first loved us.
2025-12-06,Psalm 34:18,https://bible.com/bible/111/PSA.34.18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.
2025-12-07,Romans 15:5,https://bible.com/bible/111/ROM.15.5,"May the God who gives endurance and encouragement give you the same attitude of mind toward each other that Christ Jesus had,"
2025-12-08,Proverbs 4:23,https://bible.com/bible/111/PRO.4.23,"Above all else, guard your heart, for everything you do flows from it."
2025-12-09,Jeremiah 33:14,https://bible.com/bible/111/JER.33.14,"'The days are coming,’ declares the Lord, ‘when I will fulfill the good promise I made to the people of Israel and Judah."
2025-12-10,Isaiah 7:14,https://bible.com/bible/111/ISA.7.14,"The Lord himself will give you a sign: The virgin will conceive and give birth to a son, and will call him Immanuel."
2025-12-11,Psalm 85:2,https://bible.com/bible/111/PSA.85.2,You forgave the iniquity of your people and covered all their sins.
2025-12-12,John 10:11,https://bible.com/bible/111/JHN.10.11,I am the good shepherd. The good shepherd lays down his life for the sheep.
2025-12-13,1 John 4:16,https://bible.com/bible/111/1JN.4.16,"And so we know and rely on the love God has for us. God is love. Whoever lives in love lives in God, and God in them. "
2025-12-14,James 5:8,https://bible.com/bible/111/JAS.5.8,"You too, be patient and stand firm, because the Lord’s coming is near. "
